Confirmation Number,Invitee Status,Original Response Date (GMT),Registration Type,Sessions (All)
8XN883SLMSG,Accepted,2024-05-03T17:59:08.000Z,Staff Conference Only Pass,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Operationalizing Guideline Medication Management-Exploration of Collaborative Practice Pharmacist, Yes, I will attend the Closing General Session"
G2NB65QNSQK,Accepted,2024-05-03T20:23:48.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Accelerating Value by Resetting the Key Fundamentals, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
FRN45R2S6KF,Accepted,2024-04-26T11:49:04.000Z,Conference Team,"Exhibit Hall & Reception, Exhibit Hall, Exhibit Hall & Reception"
ZSN9MWZJ5DK,Accepted,2024-04-29T18:45:15.000Z,Staff Conference Only Pass,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
XRN5MZFJWKC,Accepted,2024-05-08T17:00:27.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
YDNNWY7B2R8,Accepted,2024-05-03T20:22:21.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
25NL2X6WYJR,Accepted,2024-05-30T20:16:19.000Z,Member Full Conference Registration,"Human Trafficking & Forced Labor: The Nexus to U.S. Healthcare & Supply Chain, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, Leveraging Analytics to Unlock Value in PPI Implants, How to Successfully Navigate Cardiovascular Trends, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
H3NT8WNKPGZ,Accepted,2024-06-03T17:49:09.000Z,Exhibitor Representative,"Innovation in Healthcare, Closing the Gaps Within Health Disparity: Priorities & Partnerships, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Yes, I will attend the Closing General Session"
,Visited,2024-05-24T14:48:57.000Z,,
RBNKY2DXSZL,Accepted,2024-05-06T20:29:43.000Z,Speaker - Member,"Breaking Up With Samples: It's Not You, It's Me! A Health System Approach to End Sampling in Clinics, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, It’s About Time: Impact of Vancomycin AUC Dosing on Patient Outcomes & Pharmacy Workflow, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, How Do You Reflex? Evaluation of UA Reflex Parameters to Promote Antimicrobial Stewardship, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
WDNKQ4NLNZ6,Accepted,2024-06-03T18:13:15.000Z,Complimentary Representatives,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, I will not participate in a session on Tuesday, August 13 - 9:45 AM - 10:45 AM, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, No, I will not attend the Closing General Session"
,Declined,2024-05-21T18:24:42.000Z,Staff Full Conference,
KMN25PSR28G,Accepted,2024-04-30T15:13:37.000Z,Member Full Conference Registration,"2024 Executive Pharmacy Exchange, Med ‘Wreck’ to Med Rec: Medication Reconciliation Quality Improvement & Program Development, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Navigating Through Microbiology Changes That Impact Your Antimicrobial Stewardship Program, Yes, I will attend the Closing General Session"
VRNNW5V8ZTG,Accepted,2024-05-17T16:31:12.000Z,Member Full Conference Registration,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, When Every Minute Matters—Creative Solutions to Optimize Code Carts, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
HQNDPHKXSP9,Accepted,2024-05-16T14:28:29.000Z,HCA Member Full Conference,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, Innovation, New Technology & the Impact of Member Voice at HealthTrust, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Pharmacy Revolution: Innovating Prescription Fulfillment With In-clinic Micropharmacies, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
,No Response,,,
9YNLWLZ3W9Z,Accepted,2024-04-29T17:38:32.000Z,Complimentary Representatives,"Innovation in Healthcare, Best Team Ever: The Surprising Science of High-Performing Teams, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, On the Path to Net Zero—Lessons Learned From Three Healthcare Organizations, Exhibit Hall, Yes, I will attend the Afternoon General Session, Yes, I will attend the HealthTrust Supplier Meeting, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Yes, I will attend the Closing General Session"
,No Response,,,
,Visited,2024-04-29T15:11:38.000Z,,
,Visited,2024-05-23T20:44:29.000Z,,
,No Response,,,
6VNDT36QGVF,Accepted,2024-05-13T16:32:15.000Z,Member Full Conference Registration,"Value Analysis Journey: From Concept to Reality, Physicians in Value Analysis: Partnerships to Address PPI, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Taking Control of Robotic Inventory, Exhibit Hall, Yes, I will attend the Afternoon General Session, Maximizing Membership: Exploring Support, Technology Solutions & Portal Perks, A Strategic Approach to Managing Orthopedic Implant Service Lines, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, Streamlining Healthcare Logistics: Back to Basics, Yes, I will attend the Closing General Session"
,No Response,,,
F2N2WMD3KCL,Accepted,2024-04-30T18:05:24.000Z,Member Full Conference Registration,"Innovation in Healthcare, Pump the Breaks: A Focus on Infusion Device Safety, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Strategies for Addressing Workplace Violence in Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, I will not participate in a session on Tuesday, August 13 - 2:45 PM - 3:15 PM, Physician Perspectives on Artificial Intelligence in Healthcare, Exhibit Hall & Reception, Rhythm or Rate & When to Anti-coagulate: Changes in 2024 AFib Guidelines, Cultivating Collaborative Teams to Build a Coalition for Rapid Organizational Decision-making, Yes, I will attend the Closing General Session"
3VNL2R5QJVM,Accepted,2024-05-02T17:27:04.000Z,Member Full Conference Registration,"Dapaglifozin, Sacubitril, Ivabradine: Word Scrabble?! A Closer Look at New Heart Failure Therapies, Revitalizing Workforce Engagement & Retention: Modernizing the Pharmacy Career Ladder, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, 340B In The Field, Exhibit Hall, Yes, I will attend the Afternoon General Session, Highlighting the “Special” in Specialty Pharmacy GPO, Considerations of Clinic Conversions to HODs for 340B Expansion Opportunities, Exhibit Hall & Reception, It's a Small Copay After All—Launching a Central MPAP (Medication Patient-Assistance-Program) Team, How the Rx Inventory Turns—A Centralized Influence, Yes, I will attend the Closing General Session"
DVN49VRTPMF,Accepted,2024-04-26T17:53:40.000Z,Staff Full Conference,"I will not participate in a session on Monday, August 12 - 1:30 PM - 2:30 PM, I will not participate in a session on Monday, August 12 - 2:45 PM - 3:45 PM, Exhibit Hall & Reception, Yes, I will attend the Monday Night Event, Yes, I will attend the Opening General Session, Artificial Intelligence &  the Future of Healthcare, Exhibit Hall, Yes, I will attend the Afternoon General Session, AI 101: Using AI to Accelerate Analysis & Sourcing in Purchased Services, I will not participate in a session on Tuesday, August 13 - 3:30 PM - 4:30 PM, Exhibit Hall & Reception, I will not participate in a session on Wednesday, August 14 - 7:15 AM - 8:15 AM, I will not participate in a session on Wednesday, August 14 - 8:20 AM - 9:20 AM, Yes, I will attend the Closing General Session"
